epoch,accuracy,categorical_crossentropy,loss,lr,val_accuracy,val_categorical_crossentropy,val_loss
0,0.5,0.7486038208007812,0.7486038208007812,0.001,0.1846153885126114,0.7142348885536194,0.7142348885536194
1,0.8055555820465088,0.42462268471717834,0.42462268471717834,0.001,0.1846153885126114,0.7121603488922119,0.7121603488922119
2,0.9722222089767456,0.1841755360364914,0.1841755360364914,0.001,0.1846153885126114,0.7135306000709534,0.7135306000709534
3,0.9722222089767456,0.11596515774726868,0.11596515774726868,0.001,0.1846153885126114,0.7152696847915649,0.7152696847915649
4,0.9722222089767456,0.07639208436012268,0.07639208436012268,0.001,0.1846153885126114,0.7168799638748169,0.7168799638748169
5,1.0,0.05443812906742096,0.05443812906742096,0.001,0.1846153885126114,0.718544065952301,0.718544065952301
6,1.0,0.03654946759343147,0.03654946759343147,0.001,0.1846153885126114,0.7194962501525879,0.7194962501525879
7,1.0,0.02724694274365902,0.02724694274365902,0.001,0.1846153885126114,0.7199696898460388,0.7199696898460388
8,1.0,0.01962890289723873,0.01962890289723873,0.001,0.1846153885126114,0.7205204367637634,0.7205204367637634
9,1.0,0.014504809863865376,0.014504809863865376,0.001,0.1846153885126114,0.7207534909248352,0.7207534909248352
10,1.0,0.011832969263195992,0.011832969263195992,0.001,0.1846153885126114,0.7199426889419556,0.7199426889419556
11,1.0,0.00995882973074913,0.00995882973074913,0.001,0.1846153885126114,0.717682421207428,0.717682421207428
12,1.0,0.008035979233682156,0.008035979233682156,0.001,0.17692308127880096,0.7141517996788025,0.7141517996788025
13,1.0,0.006695413962006569,0.006695413962006569,0.001,0.17692308127880096,0.7098182439804077,0.7098182439804077
14,1.0,0.0057658604346215725,0.0057658604346215725,0.001,0.16153846681118011,0.7048563957214355,0.7048563957214355
15,1.0,0.004968985915184021,0.004968985915184021,0.001,0.2153846174478531,0.6992295384407043,0.6992295384407043
16,1.0,0.0044621555134654045,0.0044621555134654045,0.001,0.446153849363327,0.6929463744163513,0.6929463744163513
17,1.0,0.0039648269303143024,0.0039648269303143024,0.001,0.8230769038200378,0.6862339973449707,0.6862339973449707
18,1.0,0.00354063231498003,0.00354063231498003,0.001,0.8384615182876587,0.6794438362121582,0.6794438362121582
19,1.0,0.0032617803663015366,0.0032617803663015366,0.001,0.8153846263885498,0.6726925373077393,0.6726925373077393
20,1.0,0.003042818047106266,0.003042818047106266,0.001,0.8153846263885498,0.6660674810409546,0.6660674810409546
21,1.0,0.002808172721415758,0.002808172721415758,0.001,0.8153846263885498,0.6595896482467651,0.6595896482467651
22,1.0,0.00256079388782382,0.00256079388782382,0.001,0.8153846263885498,0.6531733870506287,0.6531733870506287
23,1.0,0.0023682888131588697,0.0023682888131588697,0.001,0.8153846263885498,0.6467759013175964,0.6467759013175964
24,1.0,0.002212907187640667,0.002212907187640667,0.001,0.8153846263885498,0.6404574513435364,0.6404574513435364
25,1.0,0.0020331682171672583,0.0020331682171672583,0.001,0.8153846263885498,0.6344011425971985,0.6344011425971985
26,1.0,0.001896452158689499,0.001896452158689499,0.001,0.8153846263885498,0.6287954449653625,0.6287954449653625
27,1.0,0.0018051438964903355,0.0018051438964903355,0.001,0.8153846263885498,0.6237500309944153,0.6237500309944153
28,1.0,0.0016904781805351377,0.0016904781805351377,0.001,0.8153846263885498,0.6191539764404297,0.6191539764404297
29,1.0,0.0015689547872170806,0.0015689547872170806,0.001,0.8153846263885498,0.6148748993873596,0.6148748993873596
30,1.0,0.0014798279153183103,0.0014798279153183103,0.001,0.8153846263885498,0.610732913017273,0.610732913017273
31,1.0,0.0014049115125089884,0.0014049115125089884,0.001,0.8153846263885498,0.6066684126853943,0.6066684126853943
32,1.0,0.0013201592955738306,0.0013201592955738306,0.001,0.8153846263885498,0.6026683449745178,0.6026683449745178
33,1.0,0.001239927252754569,0.001239927252754569,0.001,0.8153846263885498,0.5988178253173828,0.5988178253173828
34,1.0,0.00117790000513196,0.00117790000513196,0.001,0.8153846263885498,0.5951341986656189,0.5951341986656189
35,1.0,0.0011231800308451056,0.0011231800308451056,0.001,0.8153846263885498,0.5916030406951904,0.5916030406951904
36,1.0,0.0010657027596607804,0.0010657027596607804,0.001,0.8153846263885498,0.5882421135902405,0.5882421135902405
37,1.0,0.0010080031352117658,0.0010080031352117658,0.001,0.8153846263885498,0.5849989652633667,0.5849989652633667
38,1.0,0.0009622363722883165,0.0009622363722883165,0.001,0.8153846263885498,0.5817854404449463,0.5817854404449463
39,1.0,0.000927931338082999,0.000927931338082999,0.001,0.8153846263885498,0.5786675214767456,0.5786675214767456
40,1.0,0.0008871997124515474,0.0008871997124515474,0.001,0.8153846263885498,0.5755664706230164,0.5755664706230164
41,1.0,0.0008444349514320493,0.0008444349514320493,0.001,0.8153846263885498,0.572618842124939,0.572618842124939
42,1.0,0.0008127695182338357,0.0008127695182338357,0.001,0.8153846263885498,0.5698168873786926,0.5698168873786926
43,1.0,0.0007848700042814016,0.0007848700042814016,0.001,0.8153846263885498,0.5671467185020447,0.5671467185020447
44,1.0,0.000754202192183584,0.000754202192183584,0.001,0.8153846263885498,0.5646284222602844,0.5646284222602844
45,1.0,0.0007251377101056278,0.0007251377101056278,0.001,0.8153846263885498,0.5621798634529114,0.5621798634529114
46,1.0,0.0007015297305770218,0.0007015297305770218,0.001,0.8153846263885498,0.5597952008247375,0.5597952008247375
47,1.0,0.0006799878319725394,0.0006799878319725394,0.001,0.8153846263885498,0.557407796382904,0.557407796382904
48,1.0,0.0006579358014278114,0.0006579358014278114,0.001,0.8153846263885498,0.5550426840782166,0.5550426840782166
49,1.0,0.0006357355741783977,0.0006357355741783977,0.001,0.8153846263885498,0.552707314491272,0.552707314491272
50,1.0,0.0006166290841065347,0.0006166290841065347,0.001,0.8153846263885498,0.5504103302955627,0.5504103302955627
51,1.0,0.0006006150506436825,0.0006006150506436825,0.001,0.8153846263885498,0.5481835007667542,0.5481835007667542
52,1.0,0.0005845232517458498,0.0005845232517458498,0.001,0.8153846263885498,0.54600989818573,0.54600989818573
53,1.0,0.0005675966385751963,0.0005675966385751963,0.001,0.8153846263885498,0.543887197971344,0.543887197971344
54,1.0,0.0005521391285583377,0.0005521391285583377,0.001,0.8153846263885498,0.5417834520339966,0.5417834520339966
55,1.0,0.0005387708079069853,0.0005387708079069853,0.001,0.8153846263885498,0.5396816730499268,0.5396816730499268
56,1.0,0.0005255768192000687,0.0005255768192000687,0.001,0.8153846263885498,0.5375925898551941,0.5375925898551941
57,1.0,0.0005122032598592341,0.0005122032598592341,0.001,0.8153846263885498,0.5355328917503357,0.5355328917503357
58,1.0,0.000499788555316627,0.000499788555316627,0.001,0.8153846263885498,0.5335182547569275,0.5335182547569275
59,1.0,0.0004893336445093155,0.0004893336445093155,0.001,0.8153846263885498,0.5315612554550171,0.5315612554550171
60,1.0,0.00047873525181785226,0.00047873525181785226,0.001,0.8153846263885498,0.5296202301979065,0.5296202301979065
61,1.0,0.0004674082447309047,0.0004674082447309047,0.001,0.8153846263885498,0.5277401208877563,0.5277401208877563
62,1.0,0.0004568012955132872,0.0004568012955132872,0.001,0.8153846263885498,0.5258808135986328,0.5258808135986328
63,1.0,0.00044699167483486235,0.00044699167483486235,0.001,0.8153846263885498,0.5240573287010193,0.5240573287010193
64,1.0,0.00043756974628195167,0.00043756974628195167,0.001,0.8153846263885498,0.5222340226173401,0.5222340226173401
65,1.0,0.0004283867892809212,0.0004283867892809212,0.001,0.8153846263885498,0.5204685926437378,0.5204685926437378
66,1.0,0.00041974641499109566,0.00041974641499109566,0.001,0.8153846263885498,0.5187280774116516,0.5187280774116516
67,1.0,0.00041198861435987055,0.00041198861435987055,0.001,0.8153846263885498,0.5170500874519348,0.5170500874519348
68,1.0,0.0004043293884024024,0.0004043293884024024,0.001,0.8153846263885498,0.5154131054878235,0.5154131054878235
69,1.0,0.0003964182105846703,0.0003964182105846703,0.001,0.8153846263885498,0.5138156414031982,0.5138156414031982
70,1.0,0.0003887844504788518,0.0003887844504788518,0.001,0.8153846263885498,0.5122463703155518,0.5122463703155518
71,1.0,0.00038160401163622737,0.00038160401163622737,0.001,0.8153846263885498,0.5106955170631409,0.5106955170631409
72,1.0,0.0003744374553207308,0.0003744374553207308,0.001,0.8153846263885498,0.5091872811317444,0.5091872811317444
73,1.0,0.0003673603350762278,0.0003673603350762278,0.001,0.8153846263885498,0.5076928734779358,0.5076928734779358
74,1.0,0.0003606404352467507,0.0003606404352467507,0.001,0.8153846263885498,0.5062402486801147,0.5062402486801147
75,1.0,0.0003540460020303726,0.0003540460020303726,0.001,0.8153846263885498,0.5048236846923828,0.5048236846923828
76,1.0,0.00034817602136172354,0.00034817602136172354,0.001,0.8153846263885498,0.5034330487251282,0.5034330487251282
77,1.0,0.0003421701258048415,0.0003421701258048415,0.001,0.8153846263885498,0.5020688772201538,0.5020688772201538
78,1.0,0.000336435652570799,0.000336435652570799,0.001,0.8153846263885498,0.500731348991394,0.500731348991394
79,1.0,0.0003307276638224721,0.0003307276638224721,0.001,0.8153846263885498,0.499420166015625,0.499420166015625
80,1.0,0.00032535719219595194,0.00032535719219595194,0.001,0.8153846263885498,0.498125821352005,0.498125821352005
81,1.0,0.0003200033097527921,0.0003200033097527921,0.001,0.8153846263885498,0.4968559145927429,0.4968559145927429
82,1.0,0.0003148709947708994,0.0003148709947708994,0.001,0.8153846263885498,0.495614618062973,0.495614618062973
83,1.0,0.000309824594296515,0.000309824594296515,0.001,0.8153846263885498,0.49443119764328003,0.49443119764328003
84,1.0,0.0003050295927096158,0.0003050295927096158,0.001,0.8153846263885498,0.49328890442848206,0.49328890442848206
85,1.0,0.00030040653655305505,0.00030040653655305505,0.001,0.8153846263885498,0.4921855926513672,0.4921855926513672
86,1.0,0.0002957899705506861,0.0002957899705506861,0.001,0.8153846263885498,0.4911178946495056,0.4911178946495056
87,1.0,0.0002914447686634958,0.0002914447686634958,0.001,0.8153846263885498,0.4900931119918823,0.4900931119918823
88,1.0,0.00028707983437925577,0.00028707983437925577,0.001,0.8153846263885498,0.4891049563884735,0.4891049563884735
89,1.0,0.0002827910939231515,0.0002827910939231515,0.001,0.8153846263885498,0.4881667494773865,0.4881667494773865
90,1.0,0.00027863457216881216,0.00027863457216881216,0.001,0.8153846263885498,0.48726168274879456,0.48726168274879456
91,1.0,0.0002744283701758832,0.0002744283701758832,0.001,0.8153846263885498,0.48640406131744385,0.48640406131744385
92,1.0,0.0002704537764657289,0.0002704537764657289,0.001,0.8153846263885498,0.4855887293815613,0.4855887293815613
93,1.0,0.00026651224470697343,0.00026651224470697343,0.001,0.8153846263885498,0.4847932755947113,0.4847932755947113
94,1.0,0.0002626632631290704,0.0002626632631290704,0.001,0.8153846263885498,0.4840589761734009,0.4840589761734009
95,1.0,0.0002588903298601508,0.0002588903298601508,0.001,0.8153846263885498,0.48335376381874084,0.48335376381874084
96,1.0,0.0002553027879912406,0.0002553027879912406,0.001,0.8153846263885498,0.48269587755203247,0.48269587755203247
97,1.0,0.00025176152121275663,0.00025176152121275663,0.001,0.8153846263885498,0.4820738136768341,0.4820738136768341
98,1.0,0.0002483328280504793,0.0002483328280504793,0.001,0.8153846263885498,0.48149868845939636,0.48149868845939636
99,1.0,0.00024500006111338735,0.00024500006111338735,0.001,0.8153846263885498,0.48099419474601746,0.48099419474601746
100,1.0,0.00024162090267054737,0.00024162090267054737,0.001,0.8153846263885498,0.4805196523666382,0.4805196523666382
101,1.0,0.00023847010743338615,0.00023847010743338615,0.001,0.8153846263885498,0.4801091253757477,0.4801091253757477
102,1.0,0.00023533579951617867,0.00023533579951617867,0.001,0.8153846263885498,0.4797500967979431,0.4797500967979431
103,1.0,0.00023230734223034233,0.00023230734223034233,0.001,0.8153846263885498,0.47944876551628113,0.47944876551628113
104,1.0,0.0002294245350640267,0.0002294245350640267,0.001,0.8153846263885498,0.47918543219566345,0.47918543219566345
105,1.0,0.0002263794740429148,0.0002263794740429148,0.001,0.8153846263885498,0.4789852499961853,0.4789852499961853
106,1.0,0.00022366203484125435,0.00022366203484125435,0.001,0.8153846263885498,0.4788382947444916,0.4788382947444916
107,1.0,0.0002208618534496054,0.0002208618534496054,0.001,0.8153846263885498,0.47874435782432556,0.47874435782432556
108,1.0,0.0002181576273869723,0.0002181576273869723,0.001,0.8153846263885498,0.47870540618896484,0.47870540618896484
109,1.0,0.0002155990805476904,0.0002155990805476904,0.001,0.8153846263885498,0.4787282347679138,0.4787282347679138
110,1.0,0.0002130372158717364,0.0002130372158717364,0.001,0.8153846263885498,0.4788101017475128,0.4788101017475128
111,1.0,0.00021046207984909415,0.00021046207984909415,0.001,0.8153846263885498,0.4789488911628723,0.4789488911628723
112,1.0,0.00020797300385311246,0.00020797300385311246,0.001,0.8153846263885498,0.47914209961891174,0.47914209961891174
113,1.0,0.00020552024943754077,0.00020552024943754077,0.001,0.8153846263885498,0.4794025421142578,0.4794025421142578
114,1.0,0.0002032329939538613,0.0002032329939538613,0.001,0.8153846263885498,0.47971293330192566,0.47971293330192566
115,1.0,0.00020085307187400758,0.00020085307187400758,0.001,0.8153846263885498,0.4800819754600525,0.4800819754600525
116,1.0,0.00019848969532176852,0.00019848969532176852,0.001,0.8153846263885498,0.48050975799560547,0.48050975799560547
117,1.0,0.0001963017857633531,0.0001963017857633531,0.001,0.8153846263885498,0.48100531101226807,0.48100531101226807
118,1.0,0.0001941038790391758,0.0001941038790391758,0.001,0.8153846263885498,0.4815656840801239,0.4815656840801239
119,1.0,0.0001918728812597692,0.0001918728812597692,0.001,0.8153846263885498,0.48219186067581177,0.48219186067581177
120,1.0,0.00018981724861077964,0.00018981724861077964,0.001,0.8153846263885498,0.48288628458976746,0.48288628458976746
